file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-influenza|GCX-y3|1|51602852|2:3-469,
|174161059|154808555
real-influenza|GCX-y6|3|9675536|4:4-1666,3:2-68374,2:2-858241,
|34309972|154808555
real-influenza|GCX-y9|3|5528879|4:7-21832,3:2-770710,2:2-1156626,
|25894636|154808555
real-influenza|GCX-y12|3|4300239|4:9-196076,3:2-919425,2:2-1214183,
|25407176|154808555
real-influenza|GCX-y15|3|3870216|4:10-385903,3:2-988736,2:2-1239193,
|26435394|154808555
real-influenza|GCX-y18|3|3518378|4:11-548584,3:2-1047818,2:2-1245993,
|28192316|154808555
real-influenza|GCX-y21|3|3225181|4:12-641195,3:2-1077796,2:2-1227900,
|29378664|154808555
real-influenza|GCX-y24|3|2977092|4:13-722412,3:2-1131391,2:2-1231086,
|30661320|154808555
real-influenza|GCX-y27|3|2764441|4:14-770709,3:2-1156626,2:2-1212544,
|31479018|154808555
real-influenza|GC3|8|23596|8:3-469,7:3-196076,6:3-1134347,5:3-1087924,4:3-561600,3:3-209337,2:3-70777,1:3-23596,
real-influenza|GC6|5|19909|5:6-8958,4:6-1214182,3:6-616129,2:6-119170,1:6-19909,
real-influenza|GC9|4|23596|4:9-196076,3:9-1087923,2:9-209337,1:9-23596,
real-influenza|GC12|4|7466|4:12-641195,3:12-815770,2:12-89534,1:12-7466,
real-influenza|GC15|4|3059|4:15-806582,3:15-596787,2:15-45869,1:15-3059,
real-influenza|GC18|3|26545|3:18-919424,2:18-441934,1:18-26545,
real-influenza|GC21|3|16717|3:21-1011313,2:21-336326,1:21-16717,
real-influenza|GC24|3|11199|3:24-1077795,2:24-262621,1:24-11199,
real-influenza|GC27|3|7866|3:27-1134347,2:27-209337,1:27-7866,
