file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
pseudo-real-sources.001.2|GCX-y2|1|52428801|2:2-6752,|176960732
pseudo-real-sources.001.2|GCX-y4|7|546135|8:3-108243,7:2-402237,6:2-471483,5:2-411809,4:2-347533,3:2-297244,2:2-247860,|12448141
pseudo-real-sources.001.2|GCX-y8|3|3744917|4:7-868988,3:2-984575,2:2-851829,|26490720
pseudo-real-sources.001.2|GCX-y16|2|466034|3:15-1832334,2:15-465744,|47862070
pseudo-real-sources.001.2|GCX-y32|2|109114|3:31-2361844,2:31-109109,|83187048
pseudo-real-sources.001.2|GC2|14|6401|14:2-6752,13:2-118038,12:2-175994,11:2-160200,10:2-133695,9:2-116642,8:2-105471,7:2-95545,6:2-83275,5:2-66009,4:2-44689,3:2-25164,2:2-12798,1:2-6401,|5139588
pseudo-real-sources.001.2|GC4|7|6401|7:4-118038,6:4-160200,5:4-116642,4:4-95545,3:4-66009,2:4-25164,1:4-6401,|4765000
pseudo-real-sources.001.2|GC8|5|3201|5:8-175994,4:8-116642,3:8-83275,2:8-25164,1:8-3201,|5632520
pseudo-real-sources.001.2|GC16|4|1601|4:16-160200,3:16-95545,2:16-25164,1:16-1601,|7153492
pseudo-real-sources.001.2|GC32|3|3201|3:32-133695,2:32-66009,1:32-3201,|9530632
pseudo-real-sources.001.2|GC64|3|401|3:64-116642,2:64-25164,1:64-401,|11140568
pseudo-real-sources.001.2|GC128|2|6401|2:128-105471,1:128-6401,|15355004
