file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
pseudo-real-dblp.xml.0001.2|GCX-y2|1|52428801|2:2-3623,|176954474|104857600
pseudo-real-dblp.xml.0001.2|GCX-y4|10|68268|11:3-30959,10:2-110560,9:2-123853,8:2-109697,7:2-84026,6:2-62186,5:2-45806,4:2-36810,3:2-31166,2:2-26313,|2986609|104857600
pseudo-real-dblp.xml.0001.2|GCX-y8|3|599187|4:7-219598,3:5-888618,2:5-599140,|21526158|104857600
pseudo-real-dblp.xml.0001.2|GCX-y16|3|1747628|4:15-489048,3:2-446022,2:2-347270,|16108204|104857600
pseudo-real-dblp.xml.0001.2|GCX-y32|2|109114|3:31-834419,2:31-109114,|34991681|104857600
pseudo-real-dblp.xml.0001.2|GC2|17|801|17:2-3623,16:2-37094,15:2-50081,14:2-44263,13:2-34662,12:2-25785,11:2-18421,10:2-14274,9:2-12092,8:2-10824,7:2-9843,6:2-8757,5:2-7201,4:2-5161,3:2-3095,2:2-1600,1:2-801,|1136878|104857600
pseudo-real-dblp.xml.0001.2|GC4|9|401|9:4-37094,8:4-44263,7:4-25785,6:4-14274,5:4-10824,4:4-8757,3:4-5161,2:4-1600,1:4-401,|1057728|104857600
pseudo-real-dblp.xml.0001.2|GC8|6|401|6:8-50081,5:8-25785,4:8-12092,3:8-8757,2:8-3095,1:8-401,|1216020|104857600
pseudo-real-dblp.xml.0001.2|GC16|5|101|5:16-44263,4:16-14274,3:16-8757,2:16-1600,1:16-101,|1506808|104857600
pseudo-real-dblp.xml.0001.2|GC32|4|101|4:32-34662,3:32-10824,2:32-3095,1:32-101,|2036308|104857600
pseudo-real-dblp.xml.0001.2|GC64|3|401|3:64-25785,2:64-8757,1:64-401,|2819792|104857600
pseudo-real-dblp.xml.0001.2|GC128|3|51|3:128-18421,2:128-5161,1:128-51,|3690608|104857600
