file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
artificial-rs.13|GCX-y32|4|9323|5:31-64,4:30-1862,3:5-5980,2:5-9323,|194836
artificial-rs.13|GCX-y2|1|108373610|2:2-5,|379307670
artificial-rs.13|GCX-y4|13|17640|14:3-8,13:2-14,12:2-26,11:2-50,10:2-98,9:2-194,8:2-386,7:2-770,6:2-1538,5:2-3074,4:2-6146,3:2-11882,2:2-13650,|165148
artificial-rs.13|GCX-y8|6|8961|7:7-16,6:6-85,5:6-505,4:6-3025,3:4-11762,2:4-8961,|186684
artificial-rs.13|GCX-y16|5|4609|6:15-32,5:14-422,4:14-5881,3:4-13248,2:4-4609,|243268
artificial-rs.13|GC2|15|6616|15:2-5,14:2-10,13:2-18,12:2-34,11:2-66,10:2-130,9:2-258,8:2-514,7:2-1026,6:2-2050,5:2-4098,4:2-8194,3:2-13851,2:2-11743,1:2-6616,|185786
artificial-rs.13|GC4|8|3308|8:4-9,7:4-33,6:4-129,5:4-514,4:4-2049,3:4-8194,2:4-11742,1:4-3308,|185736
artificial-rs.13|GC8|5|6615|5:8-17,4:8-129,3:8-1025,2:8-8193,1:8-6615,|219304
artificial-rs.13|GC16|4|3308|4:16-33,3:16-513,2:16-8193,1:16-3308,|292604
artificial-rs.13|GC32|3|6615|3:32-65,2:32-2049,1:32-6615,|423240
artificial-rs.13|GC64|3|827|3:64-129,2:64-8193,1:64-827,|698568
artificial-rs.13|GC128|3|104|3:128-257,2:128-11742,1:128-104,|1936720
