file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
real-para|GCX-y32|4|40559|5:18-11820407,4:12-1862166,3:7-279568,2:7-40549,|288776090
real-para|GCX-y2|1|214632880|2:2-26,|778044264
real-para|GCX-y4|11|139736|12:3-126,11:2-11792,10:2-7247682,9:2-10550573,8:2-6877923,7:2-3924811,6:2-2077067,5:2-1068865,4:2-543728,3:2-275227,2:2-138815,|180325526
real-para|GCX-y8|7|102208|8:7-32942,7:2-11821129,6:5-5136716,5:5-1170760,4:3-400216,3:2-202251,2:2-101817,|153319710
real-para|GCX-y16|5|65518|6:13-10400667,5:7-4098381,4:8-573588,3:3-194485,2:3-65430,|240190339
