file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-world_leaders|GCX-y2|1|23484091|2:2-2506,|76328328|46968181
real-world_leaders|GCX-y4|7|244627|8:3-23172,7:2-284487,6:2-424760,5:2-451713,4:2-389720,3:2-309616,2:2-208525,|10710232|46968181
real-world_leaders|GCX-y8|4|149106|5:7-332461,4:5-426959,3:3-297346,2:3-141907,|11312791|46968181
real-world_leaders|GCX-y16|3|93192|4:14-439534,3:6-326082,2:6-91775,|12631064|46968181
real-world_leaders|GCX-y32|3|117423|4:25-450261,3:4-304557,2:4-114271,|15709057|46968181
real-world_leaders|GC2|12|11468|12:2-2506,11:2-96592,10:2-363687,9:2-447215,8:2-434919,7:2-356779,6:2-266821,5:2-168501,4:2-90392,3:2-45689,2:2-22923,1:2-11468,|11126568|46968181
real-world_leaders|GC4|6|11468|6:4-96592,5:4-447214,4:4-356779,3:4-168500,2:4-45688,1:4-11468,|10217148|46968181
real-world_leaders|GC8|4|11467|4:8-363686,3:8-356778,2:8-90391,1:8-11467,|12080812|46968181
real-world_leaders|GC16|3|11467|3:16-447214,2:16-168500,1:16-11467,|14352704|46968181
real-world_leaders|GC32|3|1434|3:32-434918,2:32-45688,1:32-1434,|17672112|46968181
real-world_leaders|GC64|2|11467|2:64-356778,1:64-11467,|24690036|46968181
real-world_leaders|GC128|2|2867|2:128-266820,1:128-2867,|35075084|46968181
