file|algorithm|nLevels|xs_size|rules_per_level
artificial-tm29|GCX-y32|6|1|7:32-3,6:32-3,5:32-3,4:32-3,3:32-3,2:32-1,
artificial-tm29|GCX-y2|27|3|28:2-3,27:2-3,26:2-3,25:2-3,24:2-3,23:2-3,22:2-3,21:2-3,20:2-3,19:2-3,18:2-3,17:2-3,16:2-3,15:2-3,14:2-3,13:2-3,12:2-3,11:2-3,10:2-3,9:2-3,8:2-3,7:2-3,6:2-3,5:2-3,4:2-3,3:2-3,2:2-3,
artificial-tm29|GCX-y4|14|2|15:4-3,14:4-3,13:4-3,12:4-3,11:4-3,10:4-3,9:4-3,8:4-3,7:4-3,6:4-3,5:4-3,4:4-3,3:4-3,2:4-2,
artificial-tm29|GCX-y8|9|3|10:8-3,9:8-3,8:8-3,7:8-3,6:8-3,5:8-3,4:8-3,3:8-3,2:8-3,
artificial-tm29|GCX-y16|7|2|8:16-3,7:16-3,6:16-3,5:16-3,4:16-3,3:16-3,2:16-2,
