file|algorithm|nLevels|xs_size|level_cover_qtyRules
real-cere|GCX-y32|5|40466|6:19-10753108,5:15-1476109,4:10-156277,3:2-79387,2:2-40195,
real-cere|GCX-y2|1|230643323|2:2-26,
real-cere|GCX-y4|12|75081|13:3-127,12:2-6992,11:2-6749267,10:2-9837477,9:2-6697959,8:2-3943020,7:2-2135961,6:2-1106575,5:2-564123,4:2-286072,3:2-145192,2:2-73758,
real-cere|GCX-y8|7|29289|8:7-21968,7:2-10800831,6:5-5101700,5:5-1212777,4:5-251890,3:3-86010,2:3-29210,
real-cere|GCX-y16|5|36612|6:14-10800830,5:10-2848301,4:10-313238,3:3-106960,2:3-36427,
