file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
artificial-fib41|GCX-y32|4|3557|5:31-33,4:30-933,3:9-6247,2:9-3557,|164683
artificial-fib41|GCX-y2|1|133957149|2:2-4,|468850052
artificial-fib41|GCX-y4|13|21804|14:3-6,13:2-9,12:2-15,11:2-27,10:2-51,9:2-99,8:2-195,7:2-387,6:2-771,5:2-1539,4:2-3075,3:2-6147,2:2-11647,|121502
artificial-fib41|GCX-y8|6|7089|7:7-10,6:6-45,5:6-255,4:6-1515,3:5-7451,2:5-7089,|142210
artificial-fib41|GCX-y16|5|1425|6:15-17,5:14-213,4:14-2942,3:8-10989,2:8-1425,|215275
