file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
pseudo-real-english.001.2|GCX-y2|1|52428801|2:2-3903,|176955034
pseudo-real-english.001.2|GCX-y4|7|546135|8:3-47093,7:2-424155,6:2-528455,5:2-422681,4:2-349074,3:2-297649,2:2-248227,|12713739
pseudo-real-english.001.2|GCX-y8|3|3744917|4:7-978785,3:2-1118475,2:2-876997,|28313659
pseudo-real-english.001.2|GCX-y16|2|466034|3:15-2132861,2:15-466034,|53255751
pseudo-real-english.001.2|GCX-y32|2|109114|3:31-2474775,2:31-109114,|86688357
pseudo-real-english.001.2|GC2|14|6401|14:2-3903,13:2-87559,12:2-195256,11:2-166287,10:2-134619,9:2-116786,8:2-105542,7:2-95636,6:2-83216,5:2-66070,4:2-44698,3:2-25190,2:2-12798,1:2-6401,|5126874
pseudo-real-english.001.2|GC4|7|6401|7:4-87559,6:4-166287,5:4-116786,4:4-95636,3:4-66070,2:4-25190,1:4-6401,|4700820
pseudo-real-english.001.2|GC8|5|3201|5:8-195256,4:8-116786,3:8-83216,2:8-25190,1:8-3201,|5788760
pseudo-real-english.001.2|GC16|4|1601|4:16-166287,3:16-95636,2:16-25190,1:16-1601,|7255284
pseudo-real-english.001.2|GC32|3|3201|3:32-134619,2:32-66070,1:32-3201,|9564840
pseudo-real-english.001.2|GC64|3|401|3:64-116786,2:64-25190,1:64-401,|11153528
pseudo-real-english.001.2|GC128|2|6401|2:128-105542,1:128-6401,|15364092
