file|algorithm|nLevels|xs_size|rules_per_level
real-coreutils|GCX-y32|6|42769|7:20-4248536,6:5-1678080,5:4-497661,4:3-170376,3:2-85430,2:2-42760,
real-coreutils|GCX-y2|1|102640890|2:2-18441,
real-coreutils|GCX-y4|8|534589|9:3-164927,8:2-1863150,7:2-4184181,6:2-3986083,5:2-2821562,4:2-1709159,3:2-962349,2:2-516452,
real-coreutils|GCX-y8|8|16972|9:7-2532112,8:4-3788679,7:3-1910697,6:3-762429,5:2-398766,4:2-202532,3:3-67813,2:4-16972,
real-coreutils|GCX-y16|7|49348|8:13-4333311,7:5-2296732,6:4-736699,5:2-386815,4:2-196262,3:2-98524,2:2-49337,
