file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
corpus-etext99|GCX-y2|||105277340
corpus-etext99|GCX-y4|||105277340
corpus-etext99|GCX-y8|2|4211094|3:5-658393,2:5-4076021,
|69423057|105277340
corpus-etext99|GCX-y16|2|1644959|3:8-3758436,2:8-1611047,
|71645244|105277340
corpus-etext99|GCX-y32|2|1644959|3:8-3758436,2:8-1611047,
|71645244|105277340
corpus-etext99|GCX-y64|2|2148519|3:7-2556866,2:7-2097629,
|66289874|105277340
corpus-etext99|GCX-y128|2|2148520|3:7-2556866,2:7-2097630,
|66289898|105277340
corpus-etext99|GC2|13|12853|13:2-5006,12:2-221433,11:2-3758437,10:2-6127006,9:2-3201421,8:2-1611048,7:2-810756,6:2-407732,5:2-204683,4:2-102624,3:2-51366,2:2-25698,1:2-12853,
corpus-etext99|GC4|7|6426|7:4-221433,6:4-6127006,5:4-1611047,4:4-407731,3:4-102624,2:4-25697,1:4-6426,
corpus-etext99|GC8|5|3213|5:8-3758436,4:8-1611047,3:8-204682,2:8-25697,1:8-3213,
corpus-etext99|GC16|4|1607|4:16-6127005,3:16-407731,2:16-25697,1:16-1607,
corpus-etext99|GC32|3|3213|3:32-3201420,2:32-102623,1:32-3213,
corpus-etext99|GC64|3|402|3:64-1611047,2:64-25697,1:64-402,
corpus-etext99|GC128|2|6426|2:128-810755,1:128-6426,
