file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
corpus-rctail96|GCX-y2|1|57355576|2:2-4901,
|193584894|114711151
corpus-rctail96|GCX-y4|2|28677789|3:2-4901,2:2-271393,
|94162526|114711151
corpus-rctail96|GCX-y8|2|4588447|3:5-696296,2:5-2455900,
|49480540|114711151
corpus-rctail96|GCX-y16|2|1792362|3:8-2252749,2:8-1124606,
|48816964|114711151
corpus-rctail96|GCX-y32|2|1416188|3:9-2674245,2:9-926665,
|51940217|114711151
corpus-rctail96|GCX-y64|2|796606|3:12-3330079,2:12-637139,
|64033368|114711151
corpus-rctail96|GCX-y128|2|183538|3:25-2455900,2:25-183180,
|74999496|114711151
corpus-rctail96|GC2|11|56013|11:2-4901,10:2-271393,9:2-2252750,8:2-3269318,7:2-2008039,6:2-1124607,5:2-689003,4:2-415812,3:2-222917,2:2-112018,1:2-56013,
corpus-rctail96|GC4|6|28006|6:4-271392,5:4-3269318,4:4-1124607,3:4-415811,2:4-112017,1:4-28006,
corpus-rctail96|GC8|4|28006|4:8-2252749,3:8-1124606,2:8-222916,1:8-28006,
corpus-rctail96|GC16|3|28006|3:16-3269317,2:16-415811,1:16-28006,
corpus-rctail96|GC32|3|3501|3:32-2008038,2:32-112017,1:32-3501,
corpus-rctail96|GC64|2|28006|2:64-1124606,1:64-28006,
corpus-rctail96|GC128|2|7002|2:128-689002,1:128-7002,
