file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
xml-dblp.xml|GCX-y2|1|148067938|2:2-6840,
|536759980|296135874
xml-dblp.xml|GCX-y4|2|74033970|3:2-6840,2:2-682250,
|261520484|296135874
xml-dblp.xml|GCX-y8|3|14806796|4:5-1708746,3:2-5167713,2:2-6303445,
|121058102|296135874
xml-dblp.xml|GCX-y16|3|9254249|4:8-4288587,3:2-6241298,2:2-6106140,
|137312908|296135874
xml-dblp.xml|GCX-y32|2|1510898|3:14-6040307,2:14-1510760,
|152171230|296135874
xml-dblp.xml|GCX-y64|2|740340|3:20-6303444,2:20-740340,
|172432716|296135874
xml-dblp.xml|GCX-y128|2|559804|3:23-6451499,2:23-559804,
|188480473|296135874
xml-dblp.xml|GC2|9|578392|9:2-6840,8:2-682250,7:2-4288587,6:2-6241298,5:2-6106139,4:2-4198094,3:2-2302424,2:2-1156780,1:2-578392,
xml-dblp.xml|GC4|5|289196|5:4-682249,4:4-6241297,3:4-4198093,2:4-1156780,1:4-289196,
xml-dblp.xml|GC8|3|578391|3:8-4288586,2:8-4198093,1:8-578391,
xml-dblp.xml|GC16|3|72299|3:16-6241297,2:16-1156779,1:16-72299,
xml-dblp.xml|GC32|2|289196|2:32-6106138,1:32-289196,
xml-dblp.xml|GC64|2|72299|2:64-4198093,1:64-72299,
xml-dblp.xml|GC128|2|18075|2:128-2302423,1:128-18075,
