file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size
real-cere|GCX-y2|1|230643323|2:2-26,|836082120.0
real-cere|GCX-y4|12|75081|13:3-127,12:2-6992,11:2-6749267,10:2-9837477,9:2-6697959,8:2-3943020,7:2-2135961,6:2-1106575,5:2-564123,4:2-286072,3:2-145192,2:2-73758,|172676561.0
real-cere|GCX-y8|7|29289|8:7-21968,7:2-10800831,6:5-5101700,5:5-1212777,4:5-251890,3:3-86010,2:3-29210,|145594956.0
real-cere|GCX-y16|5|36612|6:14-10800830,5:10-2848301,4:10-313238,3:3-106960,2:3-36427,|250352584.0
real-cere|GCX-y32|5|40466|6:19-10753108,5:15-1476109,4:10-156277,3:2-79387,2:2-40195,|278443312.0
real-cere|GC2|15|14079|15:2-26,14:2-584,13:2-73798,12:2-11174769,11:2-8563908,10:2-5452125,9:2-3080240,8:2-1632879,7:2-838634,6:2-425523,5:2-215893,4:2-109653,3:2-55659,2:2-28088,1:2-14079,|174860516.0
real-cere|GC4|8|7040|8:4-584,7:4-11174768,6:4-5452125,5:4-1632879,4:4-425522,3:4-109653,2:4-28088,1:4-7040,|155308460.0
real-cere|GC8|5|14078|5:8-73797,4:8-5452124,3:8-838633,2:8-109652,1:8-14078,|121438344.0
real-cere|GC16|4|7039|4:16-11174768,3:16-1632879,2:16-109652,1:16-7039,|265530684.0
real-cere|GC32|3|14078|3:32-8563907,2:32-425522,1:32-14078,|317749896.0
real-cere|GC64|3|1760|3:64-5452124,2:64-109652,1:64-1760,|370245240.0
real-cere|GC128|3|220|3:128-3080239,2:128-28087,1:128-220,|404663208.0
