file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-para|GCX-y4|11|139736|12:3-126,11:2-11792,10:2-7247682,9:2-10550573,8:2-6877923,7:2-3924811,6:2-2077067,5:2-1068865,4:2-543728,3:2-275227,2:2-138815|180325526|429265758
real-para|GCX-y8|7|102208|8:7-32942,7:2-11821129,6:5-5136716,5:5-1170760,4:3-400216,3:2-202251,2:2-101817|153319710|429265758
real-para|GCX-y16|5|65518|6:13-10400667,5:7-4098381,4:8-573588,3:3-194485,2:3-65430|240190339|429265758
real-para|GCX-y32|4|40559|5:18-11820407,4:12-1862166,3:7-279568,2:7-40549|288776090|429265758
real-para|GC2|14|26202|14:2-26,13:2-627,12:2-89949,11:2-12202645,10:2-9054692,9:2-5522849,8:2-3029722,7:2-1580697,6:2-808662,5:2-410392,4:2-207300,3:2-104406,2:2-52369,1:2-26202|182071384|429265758
real-para|GC4|7|26201|7:4-626,6:4-12202645,5:4-5522848,4:4-1580696,3:4-410392,2:4-104405,1:4-26201|160967656|429265758
real-para|GC8|5|13101|5:8-89948,4:8-5522848,3:8-808661,2:8-104405,1:8-13101|121991656|429265758
real-para|GC16|4|6551|4:16-12202644,3:16-1580696,2:16-104405,1:16-6551|279118268|429265758
real-para|GC32|3|13101|3:32-9054691,2:32-410391,1:32-13101|331861888|429265758
real-para|GC64|3|1638|3:64-5522848,2:64-104405,1:64-1638|373746400|429265758
real-para|GC128|2|26201|2:128-3029721,1:128-26201|397498684|429265758
