file|algorithm|nLevels|compressed_size|plain_size|compressed_size_ratio
pseudo-real-dblp.xml.0001.1|GC16|5|1.44|100.0|1.44
pseudo-real-dblp.xml.0001.1|GC32|4|1.94|100.0|1.94
real-world_leaders|GCX-y4|7|10.21|44.79|22.795266800625143
real-world_leaders|GCX-y8|4|10.79|44.79|24.090198705068094
real-world_leaders|GCX-y16|3|12.05|44.79|26.90332663540969
real-world_leaders|GCX-y32|3|14.98|44.79|33.44496539406118
real-world_leaders|GC4|6|9.74|44.79|21.745925429783437
real-world_leaders|GC8|4|11.52|44.79|25.720026791694572
real-world_leaders|GC16|3|13.69|44.79|30.564858227282876
real-world_leaders|GC32|3|16.85|44.79|37.62000446528243
pseudo-real-proteins.001.1|GCX-y4|10|7.0|100.0|7.000000000000001
pseudo-real-proteins.001.1|GCX-y8|4|15.32|100.0|15.32
pseudo-real-proteins.001.1|GCX-y16|4|27.37|100.0|27.37
pseudo-real-proteins.001.1|GCX-y32|3|30.8|100.0|30.8
pseudo-real-proteins.001.1|GC4|7|4.54|100.0|4.54
pseudo-real-proteins.001.1|GC8|5|5.69|100.0|5.69
pseudo-real-proteins.001.1|GC16|4|6.88|100.0|6.88
pseudo-real-proteins.001.1|GC32|3|9.09|100.0|9.09
pseudo-real-dna.001.1|GCX-y4|10|5.21|100.0|5.21
pseudo-real-dna.001.1|GCX-y8|3|19.26|100.0|19.26
pseudo-real-dna.001.1|GCX-y16|2|34.94|100.0|34.94
pseudo-real-dna.001.1|GCX-y32|2|42.74|100.0|42.74
pseudo-real-dna.001.1|GC4|7|3.49|100.0|3.49
pseudo-real-dna.001.1|GC8|5|4.2|100.0|4.2
pseudo-real-dna.001.1|GC16|4|6.87|100.0|6.87
pseudo-real-dna.001.1|GC32|3|9.06|100.0|9.06
pseudo-real-dblp.xml.00001.2|GCX-y4|13|1.76|100.0|1.76
pseudo-real-dblp.xml.00001.2|GCX-y8|3|17.72|100.0|17.72
pseudo-real-dblp.xml.00001.2|GCX-y16|3|12.6|100.0|12.6
pseudo-real-dblp.xml.00001.2|GCX-y32|2|27.35|100.0|27.35
pseudo-real-dblp.xml.00001.2|GC4|10|0.59|100.0|0.59
pseudo-real-dblp.xml.00001.2|GC8|7|0.66|100.0|0.66
pseudo-real-dblp.xml.00001.2|GC16|5|0.75|100.0|0.75
pseudo-real-dblp.xml.00001.2|GC32|4|0.94|100.0|0.9399999999999998
