Filename,Size (MB),Compression Ratio (%),Time 1 (μs),Time 10 (μs),Time 100 (μs),Time 1000 (μs),Time 10000 (μs),Peak Memory (B),Stack (B),plain_bytes,ratio,compressed_bytes
enwik8,100.0,95.61,0.26,0.61,4.86,46.91,466.3,4123418624,8388608,104857600.0,95.61,100254351.0
enwik9,1000.0,82.98,0.67,1.03,6.39,60.58,599.55,38838386688,8388608,1048576000.0,82.98,870108365.0
