file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
dc-enwik8|GCX-y2||30|
dc-enwik8|GCX-y4||32|
dc-enwik8|GCX-y8||36|
dc-enwik8|GCX-y16||44|
dc-enwik8|GCX-y32||60|
dc-enwik8|GCX-y64||92|
dc-enwik8|GCX-y128||156|
dc-enwik8|GC2|dc-enwik8|GC4|dc-enwik8|GC8|dc-enwik8|GC16|dc-enwik8|GC32|dc-enwik8|GC64|dc-enwik8|GC128|
