file|algorithm|compression_time|decompression_time|compressed_size|plain_size|compressed_size_MiB|plain_size_MiB|MiB_per_sec - comp|MiB_per_sec - decomp
enwiki8|GCX-y8|7.063861|0.456579|71997238|100000000|68.66191673278809|95.367431640625|13.50075145032228|150.38343141666192
enwiki8|GC8|3.82904|0.426178|77892276|100000000|74.28386306762695|95.367431640625|24.906355546200874|174.30243482213288
enwiki8|GCIS-ef|7.7107|2.0346|64004681|100000000|61.0396203994751|95.367431640625|12.368193761996316|30.00079642164312
enwiki8|PlainSlp_32Fblc|46.119741|0.995274|174805915|100000000|166.70791149139404|95.367431640625|2.0678223592067657|167.49951419548188
enwiki8|7zip|45.7655|0.8077|25399244|100000000|24.222606658935547|95.367431640625|2.0838280285504363|29.98960834336455
enwiki8|bzip2|4.6986|2.1053|29008758|100000000|27.664907455444336|95.367431640625|20.296988813822203|13.140601080817143
enwiki9|GCX-y8|79.190923|6.041922|663504402|1000000000|632.7671070098877|953.67431640625|12.042722578271377|104.7294399050315
enwiki9|GC8|40.777882|6.068832|624182328|1000000000|595.2666549682617|953.67431640625|23.387048802736984|98.08586808273186
enwiki9|GCIS-ef|101.7124|20.2413|530833388|1000000000|506.2421684265137|953.67431640625|9.376185365857555|25.01035844666665
enwiki9|PlainSlp_32Fblc|393.472325|10.68907|1296831445|1000000000|1236.7548418045044|953.67431640625|2.4237392462258938|115.70275447765844
enwiki9|7zip|533.4243|8.9772|224618387|1000000000|214.2127866744995|953.67431640625|1.787834405755887|23.86187081434072
enwiki9|bzip2|49.3955|20.0958|253977891|1000000000|242.21219158172607|953.67431640625|19.3069068317205|12.052876301601632
