file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
enwik8|GCX-y2|1|50000001|2:2-16977,
|168783982|100000000
enwik8|GCX-y4|2|25000002|3:2-16977,2:2-663123,
|83936486|100000000
enwik8|GCX-y8|2|4000001|3:5-1511530,2:5-3850149,
|71997238|100000000
enwik8|GCX-y16|2|2040817|3:7-3541879,2:7-2021088,
|71079829|100000000
enwik8|GCX-y32|2|1562501|3:8-4467548,2:8-1555928,
|77379572|100000000
enwik8|GCX-y64|2|1562502|3:8-4467548,2:8-1555929,
|77379604|100000000
enwik8|GCX-y128|2|2040820|3:7-3541879,2:7-2021090,
|71079877|100000000
enwik8|GC2|10|97658|10:2-16977,9:2-663122,8:2-4467548,7:2-5570215,6:2-3049457,5:2-1555928,4:2-780331,3:2-390610,2:2-195313,1:2-97658,
enwik8|GC4|5|97657|5:4-663122,4:4-5570215,3:4-1555928,2:4-390610,1:4-97657,
enwik8|GC8|4|24415|4:8-4467548,3:8-1555928,2:8-195312,1:8-24415,
enwik8|GC16|3|24415|3:16-5570215,2:16-390610,1:16-24415,
enwik8|GC32|2|97657|2:32-3049457,1:32-97657,
enwik8|GC64|2|24415|2:64-1555928,1:64-24415,
enwik8|GC128|2|6104|2:128-780331,1:128-6104,
