file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|peak_comp_gib|peak_decomp_gib|compressed_size_gib
artificial-rs.13|GC2|3034461390|6291456|3.427822|867175706|6291456|1.233351|185786.000000|216747218|0.085716|2893.887892|827.003199|0.177179|206.706255|2.826062|0.807620|0.000173
artificial-rs.13|GC4|2817714232|6291456|3.130899|433680904|6291456|0.489234|185736.000000|216747218|0.085692|2687.181694|413.590340|0.177132|206.706255|2.624201|0.403897|0.000173
artificial-rs.13|7zip|0|0|5.436400|0|0|0.277700|329156.000000|216747218|0.151862|0.000000|0.000000|0.313908|206.706255|0.000000|0.000000|0.000307
artificial-rs.13|GCIS-ef|1126389439|6291456|2.853700|1414932858|6291456|0.702400|6896.000000|216747218|0.003182|1074.208678|1349.385126|0.006577|206.706255|1.049032|1.317759|0.000006
artificial-rs.13|PlainSlp_32Fblc|2602330200|3528|10.039381|9664|3288|0.885595|1717.000000|216747218|0.000792|2481.775475|0.009216|0.001637|206.706255|2.423609|0.000009|0.000002
artificial-rs.13|PlainSlp_FblcFblc|2602330200|3528|10.039381|9664|3288|0.885595|1159.000000|216747218|0.000535|2481.775475|0.009216|0.001105|206.706255|2.423609|0.000009|0.000001
artificial-rs.13|GCX-y8|2022978600|6291456|4.786608|656267028|6291456|0.540174|78269924.000000|216747218|36.111155|1929.262733|625.865009|74.644016|206.706255|1.884046|0.611196|0.072895
artificial-rs.13|GCX-y16|1857838112|6291456|7.378735|340742432|6291456|0.340983|130196.000000|216747218|0.060068|1771.772491|324.957306|0.124165|206.706255|1.730247|0.317341|0.000121
artificial-rs.13|GCX-y32|1791782368|6291456|7.660301|274731594|6291456|0.204744|175508.000000|216747218|0.080974|1708.776825|262.004465|0.167377|206.706255|1.668727|0.255864|0.000163
artificial-rs.13|GCX-y64|1761952584|6291456|7.204258|244949837|6291456|0.161033|225068.000000|216747218|0.103839|1680.328926|233.602368|0.214642|206.706255|1.640946|0.228127|0.000210
artificial-rs.13|GCX-y128|1747753757|6291456|7.563952|230838277|6291456|0.140190|315413.000000|216747218|0.145521|1666.787869|220.144536|0.300801|206.706255|1.627723|0.214985|0.000294
artificial-rs.13|GC8|2709340812|6291456|2.994341|325340728|6291456|0.272599|219304.000000|216747218|0.101180|2583.828747|310.269096|0.209145|206.706255|2.523270|0.302997|0.000204
artificial-rs.13|GC16|2655154548|6291456|3.499932|271227164|6291456|0.192232|292604.000000|216747218|0.134998|2532.152699|258.662380|0.279049|206.706255|2.472805|0.252600|0.000273
artificial-rs.13|GC32|2628062916|6291456|3.795566|244265208|6291456|0.157091|423240.000000|216747218|0.195269|2506.316105|232.949455|0.403633|206.706255|2.447574|0.227490|0.000394
artificial-rs.13|GC64|2614522980|6291456|3.494663|230993784|6291456|0.138160|698568.000000|216747218|0.322296|2493.403416|220.292839|0.666206|206.706255|2.434964|0.215130|0.000651
artificial-rs.13|GC128|2607775140|6291456|4.167350|225471232|6291456|0.133126|1936720.000000|216747218|0.893539|2486.968174|215.026123|1.847000|206.706255|2.428680|0.209986|0.001804
artificial-rs.13|bzip2|7532473|6291456|28.659400|3678593|6291456|2.635500|25980.000000|216747218|0.011986|7.183526|3.508180|0.024776|206.706255|0.007015|0.003426|0.000024
artificial-rs.13|CBT|437989376|0|0.000000|0|0|0.000000|0.000000|216747218|0.000000|417.699219|0.000000|0.000000|206.706255|0.407909|0.000000|0.000000
