algorithm|best_compression_file|best_compression_speedup|worst_compression_file|worst_compression_speedup|best_decompression_file|best_decompression_speedup|worst_decompression_file|worst_decompression_speedup|best_compression_ratio_file|best_compression_ratio_vs_repair|worst_compression_ratio_file|worst_compression_ratio_vs_repair|best_repair_vs_7zip_file|best_repair_vs_7zip|worst_repair_vs_7zip_file|worst_repair_vs_7zip|avg_repair_vs_7zip
GC8|pseudo-real-dna.001.1|12.38|real-influenza|6.6|pseudo-real-sources.001.2|5.52|real-coreutils|2.71|real-einstein.de.txt|7.50925849107177|pseudo-real-english.001.2|0.3371996168308333|pseudo-real-sources.001.2|35.346931052242645|real-cere|4.07832437538439|13.562618796702868
GCX-y8|pseudo-real-dna.001.1|6.59|real-influenza|3.25|pseudo-real-dna.001.1|4.59|pseudo-real-dblp.xml.00001.1|2.19|real-einstein.en.txt|33.09139673338605|real-Escherichia_Coli|0.5994893710835874|pseudo-real-sources.001.2|35.346931052242645|real-cere|4.07832437538439|13.562618796702868
