file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio|plain_size_mib|compressed_size_mib
pseudo-real-english.001.2|GC2|1468014534|6291456|3.795296|424558258|6291456|0.731851|5126874|104857600|4.889368|100.000000|4.889368
pseudo-real-english.001.2|GC4|1363499388|6291456|2.617550|214416724|6291456|0.280127|4700820|104857600|4.483051|100.000000|4.483051
pseudo-real-english.001.2|7zip|0|0|11.136400|0|0|0.143900|573601|104857600|0.547029|100.000000|0.547029
pseudo-real-english.001.2|GCIS-ef|558170850|6291456|4.794400|660572568|6291456|0.620000|5101819|104857600|4.865474|100.000000|4.865474
pseudo-real-english.001.2|PlainSlp_32Fblc|1262496436|3528|22.421286|5930336|3368|0.905980|17167161|104857600|16.371881|100.000000|16.371881
pseudo-real-english.001.2|PlainSlp_FblcFblc|1262496436|3528|22.421286|5930336|3368|0.905980|14395211|104857600|13.728343|100.000000|13.728343
pseudo-real-english.001.2|GCX-y8|944073192|6291456|4.735823|231231936|6291456|0.238812|21507656|104857600|20.511299|100.000000|20.511299
pseudo-real-english.001.2|GCX-y16|911315488|6291456|5.151826|200564456|6291456|0.205671|25792688|104857600|24.597824|100.000000|24.597824
pseudo-real-english.001.2|GCX-y32|896704008|6291456|4.988307|186515224|6291456|0.185520|49384516|104857600|47.096745|100.000000|47.096745
pseudo-real-english.001.2|GCX-y64|921706864|6291456|4.750049|199214562|6291456|0.305405|78813108|104857600|75.162037|100.000000|75.162037
pseudo-real-english.001.2|GCX-y128|949285706|6291456|4.611360|220409040|6291456|0.255291|108183294|104857600|103.171629|100.000000|103.171629
pseudo-real-english.001.2|GC8|1312282448|6291456|2.274687|163075784|6291456|0.167195|5788760|104857600|5.520592|100.000000|5.520592
pseudo-real-english.001.2|GC16|1287166688|6291456|2.380964|138328084|6291456|0.119023|7255284|104857600|6.919178|100.000000|6.919178
pseudo-real-english.001.2|GC32|1275706896|6291456|2.348899|127531224|6291456|0.102653|9564840|104857600|9.121742|100.000000|9.121742
pseudo-real-english.001.2|GC64|1272320176|6291456|2.128508|122569512|6291456|0.085881|11153528|104857600|10.636833|100.000000|10.636833
pseudo-real-english.001.2|GC128|1275079216|6291456|2.116434|123515772|6291456|0.077240|15364092|104857600|14.652340|100.000000|14.652340
pseudo-real-english.001.2|bzip2|7532491|6291456|4.329100|3678611|6291456|2.306700|39135916|104857600|37.322918|100.000000|37.322918
pseudo-real-english.001.2|CBT|977559552|0|0.000000|0|0|0.000000|5519675|104857600|5.263972|100.000000|5.263972
