file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib
pseudo-real-sources.001.2|GC2|1468020232|6291456|3.710105|424570972|6291456|0.746209|5139588.000000|104857600|4.901493|1400.013191|404.902431|4.901493|100.000000
pseudo-real-sources.001.2|GC4|1363621304|6291456|2.576410|214480904|6291456|0.285500|4765000.000000|104857600|4.544258|1300.450615|204.544930|4.544258|100.000000
pseudo-real-sources.001.2|7zip|0|0|8.680900|0|0|0.146700|468263.000000|104857600|0.446570|0.000000|0.000000|0.446570|100.000000
pseudo-real-sources.001.2|GCIS-ef|556818815|6291456|4.179500|656889632|6291456|0.585100|4944252.000000|104857600|4.715206|531.023803|626.458771|4.715206|100.000000
pseudo-real-sources.001.2|PlainSlp_32Fblc|1263785448|3528|20.646384|5680208|3352|0.864513|16551645.000000|104857600|15.784879|1205.239723|5.417068|15.784879|100.000000
pseudo-real-sources.001.2|PlainSlp_FblcFblc|1263785448|3528|20.646384|5680208|3352|0.864513|13875391.000000|104857600|13.232604|1205.239723|5.417068|13.232604|100.000000
pseudo-real-sources.001.2|GCX-y8|944195108|6291456|4.658746|231299076|6291456|0.247642|21574796.000000|104857600|20.575329|900.454624|220.583988|20.575329|100.000000
pseudo-real-sources.001.2|GCX-y16|911183980|6291456|5.231056|194708956|6291456|0.271616|19937140.000000|104857600|19.013538|868.972759|185.688931|19.013538|100.000000
pseudo-real-sources.001.2|GCX-y32|892612453|6291456|4.809012|182403653|6291456|0.188220|45272945.000000|104857600|43.175645|851.261571|173.953679|43.175645|100.000000
pseudo-real-sources.001.2|GCX-y64|917676736|6291456|4.711768|195181562|6291456|0.291676|74780108.000000|104857600|71.315868|875.164734|186.139643|71.315868|100.000000
pseudo-real-sources.001.2|GCX-y128|948251897|6291456|4.584785|219375231|6291456|0.254248|107149485.000000|104857600|102.185712|904.323480|209.212523|102.185712|100.000000
pseudo-real-sources.001.2|GC8|1312128352|6291456|2.246528|162919544|6291456|0.156700|5632520.000000|104857600|5.371590|1251.343109|155.372185|5.371590|100.000000
pseudo-real-sources.001.2|GC16|1287069296|6291456|2.290895|138226292|6291456|0.116689|7153492.000000|104857600|6.822102|1227.444931|131.822865|6.822102|100.000000
pseudo-real-sources.001.2|GC32|1275677328|6291456|2.483931|127497016|6291456|0.101864|9530632.000000|104857600|9.089119|1216.580704|121.590630|9.089119|100.000000
pseudo-real-sources.001.2|GC64|1272310960|6291456|2.242843|122556552|6291456|0.085437|11140568.000000|104857600|10.624474|1213.370285|116.879036|10.624474|100.000000
pseudo-real-sources.001.2|GC128|1275070128|6291456|2.220663|123506684|6291456|0.077919|15355004.000000|104857600|14.643673|1216.001633|117.785152|14.643673|100.000000
pseudo-real-sources.001.2|bzip2|7532491|6291456|4.098800|3678611|6291456|1.880000|34619138.000000|104857600|33.015383|7.183543|3.508197|33.015383|100.000000
pseudo-real-sources.001.2|CBT|974491648|0|0.000000|0|0|0.000000|5106565.120000|104857600|4.870000|929347656.250000|0.000000|4870000.000000|100.000000
