file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib
artificial-fib41|GC2|3750800480|6291456|3.457126|1071799008|6291456|1.475541|140792.000000|267914296|0.052551|3577.042084|1022.147186|0.134270|255.502983
artificial-fib41|GC4|3482886216|6291456|2.689905|535976820|6291456|0.583328|147476.000000|267914296|0.055046|3321.539131|511.147327|0.140644|255.502983
artificial-fib41|7zip|0|0|7.005100|0|0|0.363000|975655.000000|267914296|0.364167|0.000000|0.000000|0.930457|255.502983
artificial-fib41|GCIS-ef|1393821735|6291456|3.854300|1748952296|6291456|0.899700|9302.000000|267914296|0.003472|1329.251990|1667.930885|0.008871|255.502983
artificial-fib41|PlainSlp_32Fblc|3216426288|3496|14.240083|9440|3896|1.093769|841.000000|267914296|0.000314|3067.423141|0.009003|0.000802|255.502983
artificial-fib41|PlainSlp_FblcFblc|3216426288|3496|14.240083|9440|3896|1.093769|587.000000|267914296|0.000219|3067.423141|0.009003|0.000560|255.502983
artificial-fib41|GCX-y8|2500538006|6291456|5.649493|811189558|6291456|0.655128|96746910.000000|267914296|36.111141|2384.698874|773.610647|92.265043|255.502983
artificial-fib41|GCX-y16|2296412946|6291456|8.775993|421139459|6291456|0.421376|121898.000000|267914296|0.045499|2190.030046|401.629886|0.116251|255.502983
artificial-fib41|GCX-y32|2214763259|6291456|9.312235|339537819|6291456|0.249364|170235.000000|267914296|0.063541|2112.162837|323.808497|0.162349|255.502983
artificial-fib41|GCX-y64|2177890199|6291456|8.804596|302673877|6291456|0.195039|179683.000000|267914296|0.067067|2076.997947|288.652303|0.171359|255.502983
artificial-fib41|GCX-y128|2160335278|6291456|8.946001|285214512|6291456|0.173013|278402.000000|267914296|0.103915|2060.256269|272.001755|0.265505|255.502983
artificial-fib41|GC8|3348929156|6291456|3.683337|402050512|6291456|0.348936|178432.000000|267914296|0.066600|3193.787724|383.425247|0.170166|255.502983
artificial-fib41|GC16|3281950980|6291456|4.425981|335100124|6291456|0.241614|206524.000000|267914296|0.077086|3129.912357|319.576382|0.196957|255.502983
artificial-fib41|GC32|3248462692|6291456|4.657104|301841760|6291456|0.195544|436656.000000|267914296|0.162983|3097.975437|287.858734|0.416428|255.502983
artificial-fib41|GC64|3231721380|6291456|4.268946|285042912|6291456|0.170121|382512.000000|267914296|0.142774|3082.009678|271.838104|0.364792|255.502983
artificial-fib41|GC128|3223363108|6291456|4.748156|277974728|6291456|0.159930|1674008.000000|267914296|0.624830|3074.038609|265.097359|1.596458|255.502983
artificial-fib41|bzip2|7532473|6291456|35.103500|3678593|6291456|3.319900|14893.000000|267914296|0.005559|7.183526|3.508180|0.014203|255.502983
artificial-fib41|CBT|539947008|0|0.000000|0|0|0.000000|0.000000|267914296|0.000000|514933593.750000|0.000000|0.000000|255.502983
