algorithm|compression_speed|decompression_speed
CBT|inf|inf
GC8|52.05230619544848|574.163619092564
GCIS-ef|31.915051865042095|217.45020270940037
GCX-y8|27.767652367644423|438.48189542768444
bzip2|20.01138398076875|66.39738675549192
7zip|14.956378684377455|626.885342368102
REPAIR-PlainSlp_32Fblc|7.627616406601426|154.96893226930507
