file|algorithm|compression_time|decompression_time|plain_size|plain_size_MiB|MiB_per_sec - comp|MiB_per_sec - decomp
real-coreutils|REPAIR-PlainSlp_FblcFblc|45.349699|1.444751|205281778.0|195.77195930480957|4.316940654993313|135.50567489125086
real-coreutils|GCX-y16|10.157886|0.474061|205281778.0|195.77195930480957|19.272903762142004|412.96786553799944
real-coreutils|GC16|4.991905|0.548369|205281778.0|195.77195930480957|39.21788561777709|357.00770704545585
real-coreutils|bzip2|8.5342|2.6548|205281778.0|195.77195930480957|22.939696668089518|73.74263948501189
pseudo-real-dna.001.1|7zip|20.0496|0.1412|104857600.0|100.0|4.987630675923709|708.2152974504249
pseudo-real-dna.001.1|GCIS-ef|4.2323|0.562|104857600.0|100.0|23.627814663421777|177.9359430604982
pseudo-real-dna.001.1|REPAIR-PlainSlp_32Fblc|28.838688|0.807493|104857600.0|100.0|3.4675641277439526|123.84008282424739
pseudo-real-dna.001.1|REPAIR-PlainSlp_FblcFblc|28.838688|0.807493|104857600.0|100.0|3.4675641277439526|123.84008282424739
pseudo-real-dna.001.1|GCX-y16|4.842097|0.184816|104857600.0|100.0|20.652209156487366|541.078694485326
pseudo-real-dna.001.1|GC16|2.34684|0.117821|104857600.0|100.0|42.61048899797174|848.7451303248148
pseudo-real-dna.001.1|bzip2|4.3611|2.0512|104857600.0|100.0|22.92999472610121|48.75195007800312
pseudo-real-dblp.xml.00001.1|7zip|6.7676|0.134|104857600.0|100.0|14.776287014598973|746.2686567164179
pseudo-real-dblp.xml.00001.1|GCIS-ef|3.929|0.395|104857600.0|100.0|25.451768897938408|253.1645569620253
pseudo-real-dblp.xml.00001.1|REPAIR-PlainSlp_32Fblc|20.154253|0.597827|104857600.0|100.0|4.96173189847324|167.27247180204307
pseudo-real-dblp.xml.00001.1|REPAIR-PlainSlp_FblcFblc|20.154253|0.597827|104857600.0|100.0|4.96173189847324|167.27247180204307
pseudo-real-dblp.xml.00001.1|GCX-y16|4.718299|0.177818|104857600.0|100.0|21.194078628760067|562.3727631623345
pseudo-real-dblp.xml.00001.1|GC16|2.237607|0.102169|104857600.0|100.0|44.69060027073565|978.7704685374233
pseudo-real-dblp.xml.00001.1|bzip2|5.056|1.3486|104857600.0|100.0|19.77848101265823|74.15097137772504
real-kernel|7zip|47.3745|0.4178|257961616.0|246.01136779785156|5.192906897125069|588.8256768737472
real-kernel|GCIS-ef|11.9458|1.3351|257961616.0|246.01136779785156|20.593963384440688|184.26437555078388
real-kernel|REPAIR-PlainSlp_32Fblc|51.542736|1.879298|257961616.0|246.01136779785156|4.772959041170255|130.90599138500204
real-kernel|REPAIR-PlainSlp_FblcFblc|51.542736|1.879298|257961616.0|246.01136779785156|4.772959041170255|130.90599138500204
real-kernel|GCX-y16|12.768025|0.666093|257961616.0|246.01136779785156|19.26776990159806|369.3348643475484
real-kernel|GC16|6.378796|0.865363|257961616.0|246.01136779785156|38.567053688164904|284.28690364373284
real-kernel|bzip2|9.8432|3.7454|257961616.0|246.01136779785156|24.993027450204362|65.68360329947444
real-Escherichia_Coli|7zip|54.7237|0.2848|112689515.0|107.46909618377686|1.9638492313892675|377.34935457786816
real-Escherichia_Coli|GCIS-ef|5.2451|0.8523|112689515.0|107.46909618377686|20.48942750067241|126.09303787841941
real-Escherichia_Coli|REPAIR-PlainSlp_32Fblc|19.610417|0.875959|112689515.0|107.46909618377686|5.4802045353638755|122.68735886471495
real-Escherichia_Coli|REPAIR-PlainSlp_FblcFblc|19.610417|0.875959|112689515.0|107.46909618377686|5.4802045353638755|122.68735886471495
real-Escherichia_Coli|GCX-y16|5.232201|0.210386|112689515.0|107.46909618377686|20.53994030118049|510.81866751483875
real-Escherichia_Coli|GC16|2.850559|0.439163|112689515.0|107.46909618377686|37.70106010216833|244.71345760862562
real-Escherichia_Coli|bzip2|4.8677|2.229|112689515.0|107.46909618377686|22.078003201466164|48.21404045929872
pseudo-real-dblp.xml.00001.2|7zip|6.8619|0.1304|104857600.0|100.0|14.573223159766245|766.8711656441718
