file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio|plain_size_mib|compressed_size_mib|peak_comp_mib|peak_decomp_mib
artificial-tm29|GC2|3758096718|6291456|3.525461|1073743766|6291456|1.504327|334|268435456|0.000124|256.000000|0.000319|3584.000319|1024.001852
artificial-tm29|GC4|3489661292|6291456|1.830048|536872136|6291456|0.599656|184|268435456|0.000069|256.000000|0.000175|3328.000347|512.001167
artificial-tm29|7zip|0|0|7.473800|0|0|0.389500|1927879|268435456|0.718191|256.000000|1.838569|0.000000|0.000000
artificial-tm29|GCIS-ef|1393372575|6291456|3.420800|1700133508|6291456|0.852600|9124|268435456|0.003399|256.000000|0.008701|1328.823638|1621.373661
artificial-tm29|PlainSlp_32Fblc|3222682072|3496|13.168984|9736|3720|1.022619|1621|268435456|0.000604|256.000000|0.001546|3073.389122|0.009285
artificial-tm29|PlainSlp_FblcFblc|3222682072|3496|13.168984|9736|3720|1.022619|1127|268435456|0.000420|256.000000|0.001075|3073.389122|0.009285
artificial-tm29|GCX-y8|2281705988|6291456|3.045945|515908456|6291456|0.250793|113246260|268435456|42.187519|256.000000|108.000050|2176.004398|492.008644
artificial-tm29|GCX-y16|2214597340|6291456|3.862883|390079368|6291456|0.204639|54526028|268435456|20.312528|256.000000|52.000072|2112.004604|372.008675
artificial-tm29|GCX-y32|2181043340|6291456|8.317970|328213448|6291456|0.176192|26214524|268435456|9.765671|256.000000|25.000118|2080.005016|313.008736
artificial-tm29|GCX-y64|2164266988|6291456|8.800549|297804872|6291456|0.164281|12583132|268435456|4.687582|256.000000|12.000210|2064.005840|284.008858
artificial-tm29|GCX-y128|2155880108|6291456|8.748425|282862920|6291456|0.160797|6029724|268435456|2.246247|256.000000|5.750393|2056.007488|269.759102
artificial-tm29|GC8|3355443624|6291456|1.757341|402654200|6291456|0.335946|200|268435456|0.000075|256.000000|0.000191|3200.000404|384.000969
artificial-tm29|GC16|3288334880|6291456|2.162312|335545488|6291456|0.239529|224|268435456|0.000083|256.000000|0.000214|3136.000519|320.001114
artificial-tm29|GC32|3254780688|6291456|4.302351|301991924|6291456|0.192997|308|268435456|0.000115|256.000000|0.000294|3104.000748|288.001942
artificial-tm29|GC64|3238003952|6291456|4.474715|285218048|6291456|0.178397|496|268435456|0.000185|256.000000|0.000473|3088.001205|272.005127
artificial-tm29|GC128|3229616304|6291456|4.483322|276842260|6291456|0.162362|820|268435456|0.000305|256.000000|0.000782|3080.002121|264.017353
artificial-tm29|bzip2|7532471|6291456|53.704000|3678591|6291456|3.290400|32928|268435456|0.012267|256.000000|0.031403|7.183524|3.508178
artificial-tm29|CBT|540778496|0|0.000000|0|0|0.000000|281479741|268435456|104.859375|256.000000|268.440000|515726562.500000|0.000000
