file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-para|GCX-y8|2|11924050|3:6-11792,2:6-8407129,
|131913652|429265758
real-para|GCX-y16|2|3547651|3:11-3397823,2:11-3189940,
|148457441|429265758
real-para|GCX-y32|2|3547651|3:11-3397823,2:11-3189940,
|148457441|429265758
real-para|GCX-y64|2|2981013|3:12-7247682,2:12-2718534,
|193409860|429265758
real-para|GCX-y128|2|2981013|3:12-7247682,2:12-2718534,
|193409860|429265758
real-para|GC8|5|13101|5:8-89948,4:8-5522848,3:8-808661,2:8-104405,1:8-13101,
real-para|GC16|4|6551|4:16-12202644,3:16-1580696,2:16-104405,1:16-6551,
real-para|GC32|3|13101|3:32-9054691,2:32-410391,1:32-13101,
real-para|GC64|3|1638|3:64-5522848,2:64-104405,1:64-1638,
real-para|GC128|2|26201|2:128-3029721,1:128-26201,
