file|algorithm|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|comp_per_input|decomp_per_input
real-kernel|CBT|1023.464844|0.0|0.366636|9.725092|105.239605342551|0.0
real-Escherichia_Coli|GCIS-ef|606.614557|676.782302|17.92986|107.469096|5.644548801266552|37.74610075036838
real-Escherichia_Coli|PlainSlp_32Fblc|1290.784451|15.359718|60.660407|107.469096|12.010750057858495|0.253208291200552
real-Escherichia_Coli|GCX-y8|931.440769|215.489098|36.365269|107.469096|8.667056890475752|5.925684146596029
real-Escherichia_Coli|GC8|1343.883678|195.551945|34.347813|107.469096|12.504838395588626|5.693286643897822
real-Escherichia_Coli|CBT|1915.804688|0.0|15.05642|107.469096|17.826563722095514|0.0
pseudo-real-dblp.xml.00001.2|GCIS-ef|519.631975|614.642757|0.470177|100.0|5.19631975|1307.2582389185347
pseudo-real-dblp.xml.00001.2|PlainSlp_32Fblc|1202.160973|0.690971|1.679805|100.0|12.02160973|0.4113400067269713
pseudo-real-dblp.xml.00001.2|GCX-y8|933.396448|302.76959|36.098616|100.0|9.333964479999999|8.387290803614189
pseudo-real-dblp.xml.00001.2|GC8|1250.314026|150.658516|0.657829|100.0|12.50314026|229.0238283809318
real-influenza|GCIS-ef|786.968213|913.95724|8.353527|147.636943|5.330428800601757|109.4097427350148
real-influenza|PlainSlp_32Fblc|1772.912785|4.918892|25.077804|147.636943|12.008598586330793|0.19614524461551736
real-influenza|GCX-y8|1279.575758|272.265593|26.195326|147.636943|8.667043166831217|10.393670725838648
real-influenza|GC8|1845.983845|249.209446|27.753544|147.636943|12.503536089879617|8.979373805377792
real-influenza|CBT|1801.015625|0.0|8.518652|147.636943|12.198949588112239|0.0
real-para|GCIS-ef|2176.417979|2557.836973|23.459743|409.379728|5.316379464202487|109.03090340759488
real-para|PlainSlp_32Fblc|4914.206673|23.613091|75.005862|409.379728|12.004030333910427|0.31481660726730937
real-para|GCX-y8|3548.029438|808.110905|125.802662|409.379728|8.666842042554682|6.423639151610321
real-para|GC8|5117.933231|730.410454|116.340309|409.379728|12.501677247193832|6.278223431570909
real-para|CBT|3409.988281|0.0|15.802058|409.379728|8.329646164110988|0.0
real-einstein.de.txt|GCIS-ef|459.258342|547.973241|0.301283|88.461343|5.191627511239571|1818.7990726327075
real-einstein.de.txt|PlainSlp_32Fblc|1064.835514|0.389793|1.108909|88.461343|12.037297625020232|0.3515103583792719
real-einstein.de.txt|GCX-y8|796.2897|194.983669|18.052311|88.461343|9.001555628654655|10.801036443478068
