file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
pseudo-real-english.001.2|GC2|14|6401|14:2-3903,13:2-87559,12:2-195256,11:2-166287,10:2-134619,9:2-116786,8:2-105542,7:2-95636,6:2-83216,5:2-66070,4:2-44698,3:2-25190,2:2-12798,1:2-6401|5126874.0|104857600.0
pseudo-real-english.001.2|GC4|7|6401|7:4-87559,6:4-166287,5:4-116786,4:4-95636,3:4-66070,2:4-25190,1:4-6401|4700820.0|104857600.0
pseudo-real-english.001.2|GC8|5|3201|5:8-195256,4:8-116786,3:8-83216,2:8-25190,1:8-3201|5788760.0|104857600.0
pseudo-real-english.001.2|GC16|4|1601|4:16-166287,3:16-95636,2:16-25190,1:16-1601|7255284.0|104857600.0
pseudo-real-english.001.2|GC32|3|3201|3:32-134619,2:32-66070,1:32-3201|9564840.0|104857600.0
pseudo-real-english.001.2|GC64|3|401|3:64-116786,2:64-25190,1:64-401|11153528.0|104857600.0
pseudo-real-english.001.2|GC128|2|6401|2:128-105542,1:128-6401|15364092.0|104857600.0
pseudo-real-english.001.2|GCX-y4|2|26214402|3:2-3903,2:2-87560,|85489218.0|104857600.0
pseudo-real-english.001.2|GCX-y8|2|6553601|3:4-87559,2:4-166287,|21507656.0|104857600.0
pseudo-real-english.001.2|GCX-y16|2|2912712|3:6-424154,2:6-991579,|25792688.0|104857600.0
pseudo-real-english.001.2|GCX-y32|2|620460|3:13-1967256,2:13-620460,|49384516.0|104857600.0
pseudo-real-english.001.2|GCX-y64|2|143838|3:27-2492816,2:27-143838,|78813108.0|104857600.0
pseudo-real-english.001.2|GCX-y128|2|32274|3:57-1808066,2:57-32274,|108183294.0|104857600.0
