file|algorithm|nLevels|rules_per_level
pseudo-real-sources.001.2|GCX-y32|2|4:31-0,3:31-2361844,2:32-109109
pseudo-real-sources.001.2|GCX-y2|1|3:2-0,2:2-6752
pseudo-real-sources.001.2|GCX-y4|7|9:3-0,8:2-108243,7:2-402237,6:2-471483,5:2-411809,4:2-347533,3:2-297244,2:4-247860
pseudo-real-sources.001.2|GC2|14|14:2-6752,13:2-118038,12:2-175994,11:2-160200,10:2-133695,9:2-116642,8:2-105471,7:2-95545,6:2-83275,5:2-66009,4:2-44689,3:2-25164,2:2-12798,1:2-6401
pseudo-real-sources.001.2|GC4|7|7:4-118038,6:4-160200,5:4-116642,4:4-95545,3:4-66009,2:4-25164,1:4-6401
pseudo-real-sources.001.2|GC8|5|5:8-175994,4:8-116642,3:8-83275,2:8-25164,1:8-3201
pseudo-real-sources.001.2|GC16|4|4:16-160200,3:16-95545,2:16-25164,1:16-1601
pseudo-real-sources.001.2|GC32|3|3:32-133695,2:32-66009,1:32-3201
pseudo-real-sources.001.2|GC64|3|3:64-116642,2:64-25164,1:64-401
pseudo-real-sources.001.2|GC128|2|2:128-105471,1:128-6401
