file|algorithm|coverage|nLevels|rules_per_level
real-einstein.de.txt|GCX-y32|-|5|7:30-0,6:11-205238,5:3-200089,4:4-87759,3:4-23278,2:32-5856
real-einstein.de.txt|GCX-y2|-|1|3:2-0,2:2-3163
real-einstein.de.txt|GCX-y4|-|12|14:3-0,13:2-15501,12:2-77147,11:2-144232,10:2-190758,9:2-233797,8:2-263030,7:2-249515,6:2-184262,5:2-110564,4:2-58909,3:2-29992,2:4-15080
real-einstein.de.txt|GC2|2|16|16:3163,15:34935,14:108966,13:164380,12:208478,11:249728,10:264392,9:227091,8:151940,7:85336,6:44381,5:22503,4:11300,3:5659,2:2831,1:1417
real-einstein.de.txt|GC4|4|8|8:34935,7:164379,6:249727,5:227090,4:85335,3:22502,2:5658,1:1416
real-einstein.de.txt|GC8|8|6|6:108966,5:249727,4:151939,3:22502,2:2830,1:354
real-einstein.de.txt|GC16|16|4|4:164379,3:227090,2:22502,1:1416
real-einstein.de.txt|GC32|32|4|4:208477,3:85335,2:2830,1:89
real-einstein.de.txt|GC64|64|3|3:249727,2:22502,1:354
real-einstein.de.txt|GC128|128|3|3:264391,2:5658,1:45
