file|algorithm|nLevels|rules_per_level
real-Escherichia_Coli|GCX-y32|4|6:13-0,5:5-5135049,4:9-1632882,3:9-192417,2:32-21404
real-Escherichia_Coli|GCX-y2|1|3:2-0,2:2-131
real-Escherichia_Coli|GCX-y4|3|5:3-0,4:2-556,3:2-6572,2:4-4355926
real-Escherichia_Coli|GC2|12|12:2-131,11:2-1585,10:2-68102,9:2-5024175,8:2-3026421,7:2-1669769,6:2-865855,5:2-438387,4:2-219903,3:2-110035,2:2-55025,1:2-27514
real-Escherichia_Coli|GC4|6|6:4-1584,5:4-5024174,4:4-1669768,3:4-438386,2:4-110034,1:4-27513
real-Escherichia_Coli|GC8|4|4:8-68101,3:8-1669768,2:8-219902,1:8-27513
real-Escherichia_Coli|GC16|3|3:16-5024174,2:16-438386,1:16-27513
real-Escherichia_Coli|GC32|3|3:32-3026420,2:32-110034,1:32-3440
real-Escherichia_Coli|GC64|2|2:64-1669768,1:64-27513
real-Escherichia_Coli|GC128|2|2:128-865854,1:128-6879
