file|algorithm|coverage|nLevels|rules_per_level
artificial-tm29|GCX-y32|-|6|8:32-1492877376,7:32-3,6:32-3,5:32-3,4:32-3,3:32-3,2:32-1
artificial-tm29|GCX-y2|-|27|29:2-0,28:2-3,27:2-3,26:2-3,25:2-3,24:2-3,23:2-3,22:2-3,21:2-3,20:2-3,19:2-3,18:2-3,17:2-3,16:2-3,15:2-3,14:2-3,13:2-3,12:2-3,11:2-3,10:2-3,9:2-3,8:2-3,7:2-3,6:2-3,5:2-3,4:2-3,3:2-3,2:2-3
artificial-tm29|GCX-y4|-|14|16:4-2720317568,15:4-3,14:4-3,13:4-3,12:4-3,11:4-3,10:4-3,9:4-3,8:4-3,7:4-3,6:4-3,5:4-3,4:4-3,3:4-3,2:4-2
artificial-tm29|GC2|2|27|27:3,26:3,25:3,24:3,23:3,22:3,21:3,20:3,19:3,18:3,17:3,16:3,15:3,14:3,13:3,12:3,11:3,10:3,9:3,8:3,7:3,6:3,5:3,4:3,3:3,2:3,1:3
artificial-tm29|GC4|4|14|14:3,13:3,12:3,11:3,10:3,9:3,8:3,7:3,6:3,5:3,4:3,3:3,2:3,1:2
artificial-tm29|GC8|8|9|9:3,8:3,7:3,6:3,5:3,4:3,3:3,2:3,1:3
artificial-tm29|GC16|16|7|7:3,6:3,5:3,4:3,3:3,2:3,1:2
artificial-tm29|GC32|32|6|6:3,5:3,4:3,3:3,2:3,1:1
artificial-tm29|GC64|64|5|5:3,4:3,3:3,2:3,1:1
artificial-tm29|GC128|128|4|4:3,3:3,2:3,1:2
