file|algorithm|coverage|nLevels|rules_per_level
pseudo-real-dblp.xml.0001.1|GCX-y32|-|2|4:31-0,3:31-617520,2:32-109114
pseudo-real-dblp.xml.0001.1|GCX-y2|-|1|3:2-0,2:2-3623
pseudo-real-dblp.xml.0001.1|GCX-y4|-|13|15:3-0,14:2-24021,13:2-93687,12:2-104611,11:2-89870,10:2-64210,9:2-42583,8:2-26573,7:2-18297,6:2-14008,5:2-11597,4:2-9926,3:2-8261,2:4-6270
pseudo-real-dblp.xml.0001.1|GC2|2|17|17:3623,16:37049,15:50060,14:44249,13:34653,12:25783,11:18418,10:14270,9:12084,8:10817,7:9835,6:8755,5:7203,4:5161,3:3095,2:1599,1:801
pseudo-real-dblp.xml.0001.1|GC4|4|9|9:37049,8:44249,7:25783,6:14270,5:10817,4:8755,3:5161,2:1599,1:401
pseudo-real-dblp.xml.0001.1|GC8|8|6|6:50060,5:25783,4:12084,3:8755,2:3095,1:401
pseudo-real-dblp.xml.0001.1|GC16|16|5|5:44249,4:14270,3:8755,2:1599,1:101
pseudo-real-dblp.xml.0001.1|GC32|32|4|4:34653,3:10817,2:3095,1:101
pseudo-real-dblp.xml.0001.1|GC64|64|3|3:25783,2:8755,1:401
pseudo-real-dblp.xml.0001.1|GC128|128|3|3:18418,2:5161,1:51
