file|algorithm|nLevels|rules_per_level
pseudo-real-dna.001.1|GCX-y32|2|4:31-32,3:31-1137648,2:32-109114
pseudo-real-dna.001.1|GCX-y2|1|3:2-0,2:2-19
pseudo-real-dna.001.1|GCX-y4|10|12:3-0,11:2-70,10:2-4103,9:2-339456,8:2-231959,7:2-166440,6:2-131372,5:2-110506,4:2-94127,3:2-76438,2:4-55067
pseudo-real-dna.001.1|GC2|14|14:2-19,13:2-259,12:2-55317,11:2-165408,10:2-133385,9:2-115452,8:2-104311,7:2-94627,6:2-82551,5:2-65738,4:2-44639,3:2-25164,2:2-12799,1:2-6401
pseudo-real-dna.001.1|GC4|7|7:4-259,6:4-165408,5:4-115452,4:4-94627,3:4-65738,2:4-25164,1:4-6401
pseudo-real-dna.001.1|GC8|5|5:8-55317,4:8-115452,3:8-82551,2:8-25164,1:8-3201
pseudo-real-dna.001.1|GC16|4|4:16-165408,3:16-94627,2:16-25164,1:16-1601
pseudo-real-dna.001.1|GC32|3|3:32-133385,2:32-65738,1:32-3201
pseudo-real-dna.001.1|GC64|3|3:64-115452,2:64-25164,1:64-401
pseudo-real-dna.001.1|GC128|2|2:128-104311,1:128-6401
