file|algorithm|coverage|nLevels|rules_per_level
pseudo-real-dblp.xml.00001.1|GCX-y32|-|2|4:31-32,3:31-608264,2:32-109114
pseudo-real-dblp.xml.00001.1|GCX-y2|-|1|3:2-0,2:2-2936
pseudo-real-dblp.xml.00001.1|GCX-y4|-|16|18:3-0,17:2-19381,16:2-85046,15:2-95477,14:2-80620,13:2-54943,12:2-33333,11:2-17376,10:2-9184,9:2-5085,8:2-3033,7:2-2001,6:2-1481,5:2-1204,4:2-1030,3:2-879,2:4-689
pseudo-real-dblp.xml.00001.1|GC2|2|19|19:2936,18:29541,17:41110,16:35042,15:25383,14:16515,13:9178,12:5086,11:3038,10:2012,9:1493,8:1232,7:1088,6:984,5:897,4:768,3:587,2:376,1:201
pseudo-real-dblp.xml.00001.1|GC4|4|10|10:29541,9:35042,8:16515,7:5086,6:2012,5:1232,4:984,3:768,2:376,1:101
pseudo-real-dblp.xml.00001.1|GC8|8|7|7:41110,6:16515,5:3038,4:1232,3:897,2:376,1:51
pseudo-real-dblp.xml.00001.1|GC16|16|5|5:35042,4:5086,3:1232,2:768,1:101
pseudo-real-dblp.xml.00001.1|GC32|32|4|4:25383,3:2012,2:897,1:101
pseudo-real-dblp.xml.00001.1|GC64|64|4|4:16515,3:1232,2:376,1:7
pseudo-real-dblp.xml.00001.1|GC128|128|3|3:9178,2:984,1:51
