file|algorithm|nLevels|rules_per_level
real-coreutils|GCX-y32|6|8:20-0,7:5-4248536,6:4-1678080,5:3-497661,4:2-170376,3:2-85430,2:32-42760
real-coreutils|GCX-y2|1|3:2-0,2:2-18441
real-coreutils|GCX-y4|8|10:3-0,9:2-164927,8:2-1863150,7:2-4184181,6:2-3986083,5:2-2821562,4:2-1709159,3:2-962349,2:4-516452
real-coreutils|GC2|13|13:2-18441,12:2-568196,11:2-3091530,10:2-4515344,9:2-3559016,8:2-2334794,7:2-1372057,6:2-752669,5:2-392808,4:2-199462,3:2-100077,2:2-50100,1:2-25060
real-coreutils|GC4|7|7:4-568195,6:4-4515343,5:4-2334794,4:4-752669,3:4-199461,2:4-50099,1:4-12530
real-coreutils|GC8|5|5:8-3091529,4:8-2334793,3:8-392808,2:8-50099,1:8-6265
real-coreutils|GC16|4|4:16-4515343,3:16-752669,2:16-50099,1:16-3133
real-coreutils|GC32|3|3:32-3559015,2:32-199461,1:32-6265
real-coreutils|GC64|3|3:64-2334793,2:64-50099,1:64-784
real-coreutils|GC128|2|2:128-1372056,1:128-12530
