file|algorithm|nLevels|rules_per_level
real-world_leaders|GCX-y32|3|5:25-0,4:4-450261,3:4-304557,2:32-114271
real-world_leaders|GCX-y2|1|3:2-0,2:2-2506
real-world_leaders|GCX-y4|7|9:3-0,8:2-23172,7:2-284487,6:2-424760,5:2-451713,4:2-389720,3:2-309616,2:4-208525
real-world_leaders|GC2|12|12:2-2506,11:2-96592,10:2-363687,9:2-447215,8:2-434919,7:2-356779,6:2-266821,5:2-168501,4:2-90392,3:2-45689,2:2-22923,1:2-11468
real-world_leaders|GC4|6|6:4-96592,5:4-447214,4:4-356779,3:4-168500,2:4-45688,1:4-11468
real-world_leaders|GC8|4|4:8-363686,3:8-356778,2:8-90391,1:8-11467
real-world_leaders|GC16|3|3:16-447214,2:16-168500,1:16-11467
real-world_leaders|GC32|3|3:32-434918,2:32-45688,1:32-1434
real-world_leaders|GC64|2|2:64-356778,1:64-11467
real-world_leaders|GC128|2|2:128-266820,1:128-2867
