file|algorithm|nLevels|xs_size|level_cover_qtyRules
real-Escherichia_Coli|GCX-y2|1|56344758|2:2-131,
real-Escherichia_Coli|GCX-y4|3|9390794|4:3-556,3:2-6572,2:2-4355926,
real-Escherichia_Coli|GCX-y8|2|2299787|3:7-18955,2:7-2133069,
real-Escherichia_Coli|GCX-y16|5|86953|6:12-4355926,5:3-2770741,4:4-772135,3:3-260509,2:3-86949,
real-Escherichia_Coli|GCX-y32|4|21404|5:13-5135049,4:5-1632882,3:9-192417,2:9-21404,
real-Escherichia_Coli|GC2|12|27514|12:2-131,11:2-1585,10:2-68102,9:2-5024175,8:2-3026421,7:2-1669769,6:2-865855,5:2-438387,4:2-219903,3:2-110035,2:2-55025,1:2-27514,
real-Escherichia_Coli|GC4|6|27513|6:4-1584,5:4-5024174,4:4-1669768,3:4-438386,2:4-110034,1:4-27513,
real-Escherichia_Coli|GC8|4|27513|4:8-68101,3:8-1669768,2:8-219902,1:8-27513,
real-Escherichia_Coli|GC16|3|27513|3:16-5024174,2:16-438386,1:16-27513,
real-Escherichia_Coli|GC32|3|3440|3:32-3026420,2:32-110034,1:32-3440,
real-Escherichia_Coli|GC64|2|27513|2:64-1669768,1:64-27513,
real-Escherichia_Coli|GC128|2|6879|2:128-865854,1:128-6879,
