file|algorithm|nLevels|xs_size|level_cover_qtyRules
pseudo-real-dna.001.1|GCX-y4|2|26214402|3:2-19,2:2-260,
pseudo-real-dna.001.1|GCX-y8|2|2912712|3:6-4102,2:6-363137,
pseudo-real-dna.001.1|GCX-y16|2|1294539|3:9-210968,2:9-1083183,
pseudo-real-dna.001.1|GCX-y32|2|534988|3:14-594415,2:14-348329,
pseudo-real-dna.001.1|GCX-y64|4|234061|5:28-362190,4:4-163576,3:2-125630,2:2-99892,
pseudo-real-dna.001.1|GCX-y128|2|31171|3:58-624437,2:58-31171,
pseudo-real-dna.001.1|GC2|14|6401|14:2-19,13:2-259,12:2-55317,11:2-165408,10:2-133385,9:2-115452,8:2-104311,7:2-94627,6:2-82551,5:2-65738,4:2-44639,3:2-25164,2:2-12799,1:2-6401,
pseudo-real-dna.001.1|GC4|7|6401|7:4-259,6:4-165408,5:4-115452,4:4-94627,3:4-65738,2:4-25164,1:4-6401,
pseudo-real-dna.001.1|GC8|5|3201|5:8-55317,4:8-115452,3:8-82551,2:8-25164,1:8-3201,
pseudo-real-dna.001.1|GC16|4|1601|4:16-165408,3:16-94627,2:16-25164,1:16-1601,
pseudo-real-dna.001.1|GC32|3|3201|3:32-133385,2:32-65738,1:32-3201,
pseudo-real-dna.001.1|GC64|3|401|3:64-115452,2:64-25164,1:64-401,
pseudo-real-dna.001.1|GC128|2|6401|2:128-104311,1:128-6401,
