file|algorithm|nLevels|xs_size|compressed_size|plain_size
real-influenza|GCX-y4|2.0|38702140.0|124.57|147.64
real-influenza|GCX-y8|3.0|6450358.0|26.2|147.64
real-influenza|GCX-y16|3.0|3870216.0|25.21|147.64
real-influenza|GCX-y32|3.0|2418889.0|31.97|147.64
real-influenza|GCX-y64|2.0|247694.0|42.99|147.64
real-influenza|GCX-y128|2.0|113082.0|55.0|147.64
real-influenza|GC2|12.0|37797.0|26.21|147.64
real-influenza|GC4|6.0|37796.0|24.34|147.64
real-influenza|GC8|4.0|37796.0|27.75|147.64
real-influenza|GC16|3.0|37796.0|36.34|147.64
real-influenza|GC32|3.0|4725.0|49.8|147.64
real-influenza|GC64|2.0|37796.0|78.51|147.64
real-influenza|GC128|2.0|9449.0|110.4|147.64
pseudo-real-english.001.2|GCX-y4|2.0|26214402.0|81.53|100.0
pseudo-real-english.001.2|GCX-y8|2.0|6553601.0|20.51|100.0
pseudo-real-english.001.2|GCX-y16|2.0|2912712.0|24.6|100.0
pseudo-real-english.001.2|GCX-y32|2.0|620460.0|47.1|100.0
pseudo-real-english.001.2|GCX-y64|2.0|143838.0|75.16|100.0
pseudo-real-english.001.2|GCX-y128|2.0|32274.0|103.17|100.0
pseudo-real-english.001.2|GC2|14.0|6401.0|4.89|100.0
pseudo-real-english.001.2|GC4|7.0|6401.0|4.48|100.0
pseudo-real-english.001.2|GC8|5.0|3201.0|5.52|100.0
pseudo-real-english.001.2|GC16|4.0|1601.0|6.92|100.0
pseudo-real-english.001.2|GC32|3.0|3201.0|9.12|100.0
pseudo-real-english.001.2|GC64|3.0|401.0|10.64|100.0
pseudo-real-english.001.2|GC128|2.0|6401.0|14.65|100.0
pseudo-real-dblp.xml.0001.2|GCX-y4|2.0|26214402.0|81.37|100.0
pseudo-real-dblp.xml.0001.2|GCX-y8|2.0|11650846.0|36.52|100.0
pseudo-real-dblp.xml.0001.2|GCX-y16|2.0|2912712.0|12.0|100.0
pseudo-real-dblp.xml.0001.2|GCX-y32|3.0|2383132.0|13.55|100.0
pseudo-real-dblp.xml.0001.2|GCX-y64|2.0|237773.0|25.95|100.0
pseudo-real-dblp.xml.0001.2|GCX-y128|2.0|59444.0|27.89|100.0
pseudo-real-dblp.xml.0001.2|GC2|17.0|801.0|1.08|100.0
pseudo-real-dblp.xml.0001.2|GC4|9.0|401.0|1.01|100.0
pseudo-real-dblp.xml.0001.2|GC8|6.0|401.0|1.16|100.0
pseudo-real-dblp.xml.0001.2|GC16|5.0|101.0|1.44|100.0
pseudo-real-dblp.xml.0001.2|GC32|4.0|101.0|1.94|100.0
pseudo-real-dblp.xml.0001.2|GC64|3.0|401.0|2.69|100.0
pseudo-real-dblp.xml.0001.2|GC128|3.0|51.0|3.52|100.0
real-kernel|GCX-y4|2.0|64490406.0|208.73|246.01
real-kernel|GCX-y8|2.0|10318466.0|94.95|246.01
real-kernel|GCX-y16|2.0|4030651.0|96.13|246.01
real-kernel|GCX-y32|2.0|2579617.0|98.49|246.01
real-kernel|GCX-y64|2.0|1791401.0|103.69|246.01
real-kernel|GCX-y128|2.0|1791401.0|103.69|246.01
real-kernel|GC2|15.0|7874.0|101.6|246.01
real-kernel|GC4|8.0|3937.0|95.7|246.01
real-kernel|GC8|5.0|7873.0|97.21|246.01
real-kernel|GC16|4.0|3937.0|119.1|246.01
real-kernel|GC32|3.0|7873.0|162.83|246.01
real-kernel|GC64|3.0|985.0|198.62|246.01
real-kernel|GC128|3.0|124.0|222.01|246.01
real-cere|GCX-y4|2.0|115321663.0|384.93|439.92
real-cere|GCX-y8|2.0|12813519.0|118.66|439.92
real-cere|GCX-y16|2.0|3812287.0|142.42|439.92
real-cere|GCX-y32|2.0|3812287.0|142.42|439.92
real-cere|GCX-y64|2.0|3203380.0|181.34|439.92
real-cere|GCX-y128|2.0|3203380.0|181.34|439.92
real-cere|GC2|15.0|14079.0|166.76|439.92
real-cere|GC4|8.0|7040.0|148.11|439.92
real-cere|GC8|5.0|14078.0|115.81|439.92
real-cere|GC16|4.0|7039.0|253.23|439.92
real-cere|GC32|3.0|14078.0|303.03|439.92
real-cere|GC64|3.0|1760.0|353.09|439.92
real-cere|GC128|3.0|220.0|385.92|439.92
real-para|GCX-y4||||
real-para|GCX-y8|2.0|11924050.0|125.8|409.38
real-para|GCX-y16|2.0|3547651.0|141.58|409.38
real-para|GCX-y32|2.0|3547651.0|141.58|409.38
real-para|GCX-y64|2.0|2981013.0|184.45|409.38
real-para|GCX-y128|2.0|2981013.0|184.45|409.38
real-para|GC2|14.0|26202.0|173.64|409.38
real-para|GC4|7.0|26201.0|153.51|409.38
real-para|GC8|5.0|13101.0|116.34|409.38
real-para|GC16|4.0|6551.0|266.19|409.38
real-para|GC32|3.0|13101.0|316.49|409.38
real-para|GC64|3.0|1638.0|356.43|409.38
real-para|GC128|2.0|26201.0|379.08|409.38
pseudo-real-sources.001.2|GCX-y4|2.0|26214402.0|81.66|100.0
pseudo-real-sources.001.2|GCX-y8|2.0|6553601.0|20.58|100.0
pseudo-real-sources.001.2|GCX-y16|3.0|4369069.0|19.01|100.0
pseudo-real-sources.001.2|GCX-y32|2.0|620460.0|43.18|100.0
pseudo-real-sources.001.2|GCX-y64|2.0|143838.0|71.32|100.0
pseudo-real-sources.001.2|GCX-y128|2.0|32274.0|102.19|100.0
pseudo-real-sources.001.2|GC2|14.0|6401.0|4.9|100.0
pseudo-real-sources.001.2|GC4|7.0|6401.0|4.54|100.0
pseudo-real-sources.001.2|GC8|5.0|3201.0|5.37|100.0
pseudo-real-sources.001.2|GC16|4.0|1601.0|6.82|100.0
