file|algorithm|nLevels|xs_size|level_cover_qtyRules
real-einstein.de.txt|GCX-y4|2|23189612|3:2-3164,2:2-34936,
real-einstein.de.txt|GCX-y8|2|5797404|3:4-34936,2:4-164380,
real-einstein.de.txt|GCX-y16|2|2576624|3:6-77147,2:6-216174,
real-einstein.de.txt|GCX-y32|3|2318963|4:10-130075,3:2-178921,2:2-222639,
real-einstein.de.txt|GCX-y64|3|1220509|4:19-175029,3:2-218867,2:2-255697,
real-einstein.de.txt|GCX-y128|2|80241|3:34-212909,2:34-76477,
real-einstein.de.txt|GC2|16|1417|16:2-3163,15:2-34935,14:2-108966,13:2-164380,12:2-208478,11:2-249728,10:2-264392,9:2-227091,8:2-151940,7:2-85336,6:2-44381,5:2-22503,4:2-11300,3:2-5659,2:2-2831,1:2-1417,
real-einstein.de.txt|GC4|8|1416|8:4-34935,7:4-164379,6:4-249727,5:4-227090,4:4-85335,3:4-22502,2:4-5658,1:4-1416,
real-einstein.de.txt|GC8|6|354|6:8-108966,5:8-249727,4:8-151939,3:8-22502,2:8-2830,1:8-354,
real-einstein.de.txt|GC16|4|1416|4:16-164379,3:16-227090,2:16-22502,1:16-1416,
real-einstein.de.txt|GC32|4|89|4:32-208477,3:32-85335,2:32-2830,1:32-89,
real-einstein.de.txt|GC64|3|354|3:64-249727,2:64-22502,1:64-354,
real-einstein.de.txt|GC128|3|45|3:128-264391,2:128-5658,1:128-45,
