file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
pseudo-real-proteins.001.1|GCX-y8|2|6553601|3:4-108018,2:4-164217,|21570868|104857600
pseudo-real-proteins.001.1|GCX-y16|2|2912712|3:6-450788,2:6-319940,|15877908|104857600
pseudo-real-proteins.001.1|GCX-y32|6|182046|7:12-313926,6:3-319941,5:2-221245,4:2-160024,3:2-122548,2:2-95187,|9475892|104857600
pseudo-real-proteins.001.1|GCX-y64|2|143838|3:27-734352,2:27-143191,|30317812|104857600
pseudo-real-proteins.001.1|GCX-y128|2|32274|3:57-767395,2:57-32274,|48635095|104857600
pseudo-real-proteins.001.1|GC2|14|6401|14:2-420,13:2-108018,12:2-218879,11:2-164217,10:2-133732,9:2-116403,8:2-105325,7:2-95432,6:2-83223,5:2-66018,4:2-44645,3:2-25189,2:2-12798,1:2-6401,|5193476|104857600
pseudo-real-proteins.001.1|GC4|7|6401|7:4-108018,6:4-164217,5:4-116403,4:4-95432,3:4-66018,2:4-25189,1:4-6401,|4758088|104857600
pseudo-real-proteins.001.1|GC8|5|3201|5:8-218879,4:8-116403,3:8-83223,2:8-25189,1:8-3201,|5970576|104857600
pseudo-real-proteins.001.1|GC16|4|1601|4:16-164217,3:16-95432,2:16-25189,1:16-1601,|7214372|104857600
pseudo-real-proteins.001.1|GC32|3|3201|3:32-133732,2:32-66018,1:32-3201,|9532504|104857600
pseudo-real-proteins.001.1|GC64|3|401|3:64-116403,2:64-25189,1:64-401,|11128872|104857600
pseudo-real-proteins.001.1|GC128|2|6401|2:128-105325,1:128-6401,|15336316|104857600
