file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
real-para|GCX-y8|3720378516|6291456|19.817503|847365700|6291456|1.195229|125.802662|409.379728|30.730066
real-para|GCX-y16|3627603345|6291456|20.808228|733828904|6291456|1.319812|141.580049|409.379728|34.584040
real-para|GCX-y32|3627603473|6291456|20.878869|733828904|6291456|1.309439|141.580049|409.379728|34.584040
real-para|GCX-y64|3664192100|6291456|20.738492|765773404|6291456|1.960084|184.450016|409.379728|45.055972
real-para|GCX-y128|3664192612|6291456|20.602597|765773404|6291456|1.913536|184.450016|409.379728|45.055972
real-para|GC2|6009720992|6291456|13.988368|1899135408|6291456|3.517513|173.636803|409.379728|42.414607
real-para|GC4|5580457712|6291456|11.450224|1019499848|6291456|2.281789|153.510719|409.379728|37.498369
real-para|GC8|5366541956|6291456|10.463571|765890872|6291456|1.140620|116.340309|409.379728|28.418679
real-para|GC16|5453748324|6291456|10.968160|815701148|6291456|1.874648|266.187923|409.379728|65.022253
real-para|GC32|5494598020|6291456|10.608531|814786480|6291456|1.658624|316.488159|409.379728|77.309192
real-para|GC64|5531481892|6291456|9.723854|829845136|6291456|1.033653|356.432343|409.379728|87.066437
real-para|GC128|5552410020|6291456|9.463148|840191164|6291456|0.641488|379.084286|409.379728|92.599672
real-para|GCIS-ef|2282139659|6291456|20.629000|2682086462|6291456|2.504200|23.459743|409.379728|5.730558
real-para|REPAIR-PlainSlp_32Fblc|5152919176|3528|70.652386|24760120|8768|3.288956|75.005862|409.379728|18.321831
real-para|REPAIR-PlainSlp_FblcFblc|5152919176|3528|70.652386|24760120|8768|3.288956|65.904546|409.379728|16.098634
real-para|bzip2|7532459|6291456|17.812400|3678579|6291456|8.317400|107.033811|409.379728|26.145362
real-para|GCIS-s8b|2261850089|6291456|20.085200|1107989286|6291456|2.915700|18.524261|409.379728|4.524958
real-para|7zip|0|0|343.581700|0|0|1.087500|16.201038|409.379728|3.957460
