file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
pseudo-real-sources.001.2|GCX-y8|944195108|6291456|4.760215|231299076|6291456|0.234348|20.575329|100.000000|20.575329
pseudo-real-sources.001.2|GCX-y16|911183980|6291456|5.308196|194708956|6291456|0.258349|19.013538|100.000000|19.013538
pseudo-real-sources.001.2|GCX-y32|892612453|6291456|4.980367|182403653|6291456|0.180244|43.175645|100.000000|43.175645
pseudo-real-sources.001.2|GCX-y64|917676736|6291456|4.927942|195181562|6291456|0.306158|71.315868|100.000000|71.315868
pseudo-real-sources.001.2|GCX-y128|948251897|6291456|4.558430|219375231|6291456|0.252676|102.185712|100.000000|102.185712
pseudo-real-sources.001.2|GC2|1468020232|6291456|3.720876|424570972|6291456|0.714981|4.901493|100.000000|4.901493
pseudo-real-sources.001.2|GC4|1363621304|6291456|2.601537|214480904|6291456|0.273191|4.544258|100.000000|4.544258
pseudo-real-sources.001.2|GC8|1312128352|6291456|2.283332|162919544|6291456|0.158871|5.371590|100.000000|5.371590
pseudo-real-sources.001.2|GC16|1287069296|6291456|2.382175|138226292|6291456|0.116761|6.822102|100.000000|6.822102
pseudo-real-sources.001.2|GC32|1275677328|6291456|2.387344|127497016|6291456|0.104503|9.089119|100.000000|9.089119
pseudo-real-sources.001.2|GC64|1272310960|6291456|2.276558|122556552|6291456|0.087464|10.624474|100.000000|10.624474
pseudo-real-sources.001.2|GC128|1275070128|6291456|2.253956|123506684|6291456|0.078813|14.643673|100.000000|14.643673
pseudo-real-sources.001.2|GCIS-ef|556818815|6291456|4.255300|656889632|6291456|0.592100|4.715206|100.000000|4.715206
pseudo-real-sources.001.2|REPAIR-PlainSlp_32Fblc|1263785448|3496|20.813055|5680208|3400|0.854880|15.784879|100.000000|15.784879
pseudo-real-sources.001.2|REPAIR-PlainSlp_FblcFblc|1263785448|3496|20.813055|5680208|3400|0.854880|13.232604|100.000000|13.232604
pseudo-real-sources.001.2|bzip2|7532491|6291456|4.072000|3678611|6291456|1.856000|33.015383|100.000000|33.015383
pseudo-real-sources.001.2|GCIS-s8b|552622257|6291456|4.184100|281732432|6291456|0.710400|3.586047|100.000000|3.586047
pseudo-real-sources.001.2|7zip|0|0|9.305400|0|0|0.168200|0.446570|100.000000|0.446570
