file,GC128,GC16,GC2,GC32,GC4,GC64,GC8,GCX-y128,GCX-y16,GCX-y32,GCX-y4,GCX-y64,GCX-y8
artificial-fib41,3.0,4.0,15.0,3.0,8.0,3.0,5.0,3.0,8.0,5.0,1.0,4.0,2.0
artificial-rs.13,3.0,4.0,15.0,3.0,8.0,3.0,5.0,3.0,8.0,6.0,1.0,4.0,2.0
artificial-tm29,4.0,7.0,27.0,6.0,14.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0
pseudo-real-dblp.xml.00001.1,3.0,5.0,19.0,4.0,10.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0
pseudo-real-dblp.xml.00001.2,3.0,5.0,19.0,4.0,10.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0
pseudo-real-dblp.xml.0001.1,3.0,5.0,17.0,4.0,9.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0
pseudo-real-dblp.xml.0001.2,3.0,5.0,17.0,4.0,9.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0
pseudo-real-dna.001.1,2.0,4.0,14.0,3.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0
pseudo-real-english.001.2,2.0,4.0,14.0,3.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
pseudo-real-proteins.001.1,2.0,4.0,14.0,3.0,7.0,3.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0
pseudo-real-sources.001.2,2.0,4.0,14.0,3.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0
real-Escherichia_Coli,2.0,3.0,12.0,3.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
real-cere,3.0,4.0,15.0,3.0,8.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
real-coreutils,2.0,4.0,13.0,3.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
real-einstein.de.txt,3.0,4.0,16.0,4.0,8.0,3.0,6.0,2.0,2.0,3.0,2.0,3.0,2.0
real-einstein.en.txt,3.0,5.0,17.0,4.0,9.0,3.0,6.0,3.0,2.0,5.0,2.0,4.0,2.0
real-influenza,2.0,3.0,12.0,3.0,6.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0
real-kernel,3.0,4.0,15.0,3.0,8.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
real-para,2.0,4.0,14.0,3.0,7.0,3.0,5.0,2.0,2.0,2.0,,2.0,2.0
real-world_leaders,2.0,3.0,12.0,3.0,6.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0
