file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-Escherichia_Coli|GCX-y8|2|3130265|3:6-6572,2:6-2770740,|38131748|112689515
real-Escherichia_Coli|GCX-y16|2|1126896|3:10-963416,2:10-1095912,|41500852|112689515
real-Escherichia_Coli|GCX-y32|2|1126896|3:10-963417,2:10-1095912,|41500862|112689515
real-Escherichia_Coli|GCX-y64|2|1126896|3:10-963417,2:10-1095912,|41500862|112689515
real-Escherichia_Coli|GCX-y128|2|1126896|3:10-963417,2:10-1095912,|41500862|112689515
real-Escherichia_Coli|GC2|12|27514|12:2-131,11:2-1585,10:2-68102,9:2-5024175,8:2-3026421,7:2-1669769,6:2-865855,5:2-438387,4:2-219903,3:2-110035,2:2-55025,1:2-27514,|59682210|112689515
real-Escherichia_Coli|GC4|6|27513|6:4-1584,5:4-5024174,4:4-1669768,3:4-438386,2:4-110034,1:4-27513,|56413884|112689515
real-Escherichia_Coli|GC8|4|27513|4:8-68101,3:8-1669768,2:8-219902,1:8-27513,|36016292|112689515
real-Escherichia_Coli|GC16|3|27513|3:16-5024174,2:16-438386,1:16-27513,|102584896|112689515
real-Escherichia_Coli|GC32|3|3440|3:32-3026420,2:32-110034,1:32-3440,|107221872|112689515
real-Escherichia_Coli|GC64|2|27513|2:64-1669768,1:64-27513,|111762492|112689515
real-Escherichia_Coli|GC128|2|6879|2:128-865854,1:128-6879,|113152716|112689515
